iteration,cost
1,5.444009
2,4.668145
3,4.643904
4,4.654076
5,4.645247
6,4.641239
7,4.642942
8,4.634586
9,4.645292
10,4.631614
11,4.639400
12,4.638763
13,4.623559
14,4.620904
15,4.626485
16,4.612156
17,4.631313
18,4.615707
19,4.625010
20,4.617308
21,4.630872
22,4.610740
23,4.613624
24,4.620395
25,4.609052
26,4.602940
27,4.616592
28,4.599615
29,4.616998
30,4.621316
31,4.613515
32,4.610003
33,4.607681
34,4.606732
35,4.608874
36,4.603148
37,4.596249
38,4.597156
39,4.595087
40,4.604412
41,4.603845
42,4.596603
43,4.607947
44,4.606723
45,4.600370
46,4.594682
47,4.601761
48,4.606653
49,4.594279
50,4.600852
51,4.602205
52,4.596035
53,4.593883
54,4.594864
55,4.591321
56,4.588070
57,4.590675
58,4.591751
59,4.600503
60,4.590486
61,4.599928
62,4.588356
63,4.588779
64,4.583717
65,4.585157
66,4.580530
67,4.579722
68,4.587107
69,4.598678
70,4.584508
71,4.583150
72,4.582945
73,4.589776
74,4.587731
75,4.583476
76,4.588539
77,4.588240
78,4.585592
79,4.585286
80,4.581118
81,4.580007
82,4.583428
83,4.579264
84,4.583588
85,4.574452
86,4.570229
87,4.575641
88,4.576407
89,4.572726
90,4.580128
91,4.578638
92,4.561566
93,4.556986
94,4.493266
95,4.343317
96,4.240698
97,4.211786
98,4.169047
99,4.143057
100,4.102303
101,4.056678
102,4.025418
103,4.002740
104,4.023843
105,3.970129
106,3.955621
107,3.961466
108,3.921619
109,3.935980
110,3.903564
111,3.896180
112,3.909286
113,3.870830
114,3.842608
115,3.836080
116,3.832833
117,3.818430
118,3.832777
119,3.778538
120,3.781900
121,3.749753
122,3.739042
123,3.723413
124,3.723701
125,3.720321
126,3.714573
127,3.665903
128,3.693902
129,3.650887
130,3.660828
131,3.628057
132,3.630166
133,3.643657
134,3.569974
135,3.569417
136,3.556423
137,3.535078
138,3.515142
139,3.488134
140,3.495616
141,3.450480
142,3.507707
143,3.470231
144,3.431280
145,3.417711
146,3.409973
147,3.379561
148,3.361861
149,3.331596
150,3.388418
151,3.357312
152,3.332525
153,3.318548
154,3.316531
155,3.307077
156,3.301175
157,3.289935
158,3.268014
159,3.249833
160,3.231358
161,3.234997
162,3.235906
163,3.202789
164,3.244523
165,3.220255
166,3.200351
167,3.177461
168,3.174240
169,3.205544
170,3.210562
171,3.167129
172,3.169589
173,3.126904
174,3.139964
175,3.124944
176,3.142341
177,3.155149
178,3.135647
179,3.115614
180,3.150181
181,3.128359
182,3.111467
183,3.128553
184,3.133773
185,3.076252
186,3.095912
187,3.055207
