train data: small + change data
mu = 0.001000, decay = 0.999900
activation function: ReLU
batch_size = 128
batch_num = 512
3 layers: 69-256-256-48
1, cost: 0.989485
2, cost: 0.983450
3, cost: 0.977148
4, cost: 0.933791
5, cost: 0.873378
6, cost: 0.845130
7, cost: 0.821671
8, cost: 0.809528
9, cost: 0.788052
10, cost: 0.779791
11, cost: 0.773345
12, cost: 0.771865
13, cost: 0.763612
14, cost: 0.756767
15, cost: 0.757628
16, cost: 0.755495
17, cost: 0.750567
18, cost: 0.746988
19, cost: 0.744700
20, cost: 0.743426
21, cost: 0.720306
22, cost: 0.716941
23, cost: 0.715967
24, cost: 0.716769
25, cost: 0.713219
26, cost: 0.714568
27, cost: 0.710002
28, cost: 0.713543
29, cost: 0.713139
30, cost: 0.706220
31, cost: 0.702905
32, cost: 0.705150
33, cost: 0.701524
34, cost: 0.701602
35, cost: 0.697615
36, cost: 0.699797
37, cost: 0.696923
38, cost: 0.695853
39, cost: 0.696307
40, cost: 0.694677
41, cost: 0.704390
42, cost: 0.702523
43, cost: 0.699517
44, cost: 0.702813
45, cost: 0.698933
46, cost: 0.697476
47, cost: 0.697803
48, cost: 0.697163
49, cost: 0.699551
50, cost: 0.696401
51, cost: 0.698124
52, cost: 0.699153
53, cost: 0.694675
54, cost: 0.691729
55, cost: 0.693666
56, cost: 0.694248
57, cost: 0.689989
58, cost: 0.693295
59, cost: 0.686544
60, cost: 0.690791
61, cost: 0.689931
62, cost: 0.690278
63, cost: 0.691325
64, cost: 0.688553
65, cost: 0.690569
66, cost: 0.687007
67, cost: 0.687903
68, cost: 0.686284
69, cost: 0.682171
70, cost: 0.680945
71, cost: 0.683064
72, cost: 0.685641
73, cost: 0.684439
74, cost: 0.682292
75, cost: 0.678285
76, cost: 0.678536
77, cost: 0.681719
78, cost: 0.682700
79, cost: 0.678398
80, cost: 0.677631
81, cost: 0.685062
82, cost: 0.680089
83, cost: 0.677914
84, cost: 0.676323
85, cost: 0.679797
86, cost: 0.684641
87, cost: 0.680394
88, cost: 0.679040
89, cost: 0.677776
90, cost: 0.675330
91, cost: 0.674284
92, cost: 0.673227
93, cost: 0.671704
94, cost: 0.674301
95, cost: 0.671700
96, cost: 0.671560
97, cost: 0.672882
98, cost: 0.673730
99, cost: 0.670153
100, cost: 0.671435
101, cost: 0.676202
102, cost: 0.672970
103, cost: 0.672844
104, cost: 0.670224
105, cost: 0.668666
106, cost: 0.663761
107, cost: 0.667726
108, cost: 0.670100
109, cost: 0.663988
110, cost: 0.664921
111, cost: 0.665219
112, cost: 0.663253
113, cost: 0.663005
114, cost: 0.661638
115, cost: 0.665299
116, cost: 0.667156
117, cost: 0.661533
118, cost: 0.667795
119, cost: 0.667424
120, cost: 0.668033
121, cost: 0.673940
122, cost: 0.674323
123, cost: 0.670581
124, cost: 0.669327
125, cost: 0.667578
126, cost: 0.672386
127, cost: 0.670039
128, cost: 0.668780
129, cost: 0.670352
130, cost: 0.667555
131, cost: 0.667944
132, cost: 0.665790
133, cost: 0.663028
134, cost: 0.662900
135, cost: 0.660402
136, cost: 0.663185
137, cost: 0.657569
138, cost: 0.659070
139, cost: 0.662526
140, cost: 0.662734
141, cost: 0.660303
142, cost: 0.658099
143, cost: 0.659111
144, cost: 0.655262
145, cost: 0.657334
146, cost: 0.660782
147, cost: 0.656100
148, cost: 0.659534
149, cost: 0.657895
150, cost: 0.657624
151, cost: 0.654247
152, cost: 0.655477
153, cost: 0.654548
154, cost: 0.652516
155, cost: 0.651775
156, cost: 0.655756
157, cost: 0.652488
158, cost: 0.651011
159, cost: 0.650850
160, cost: 0.654166
161, cost: 0.658285
162, cost: 0.652434
163, cost: 0.654638
164, cost: 0.655235
165, cost: 0.653912
166, cost: 0.651901
167, cost: 0.650143
168, cost: 0.650433
169, cost: 0.653624
170, cost: 0.648400
171, cost: 0.648800
172, cost: 0.651850
173, cost: 0.647089
174, cost: 0.647471
175, cost: 0.648564
176, cost: 0.645522
177, cost: 0.646046
178, cost: 0.646840
179, cost: 0.644493
180, cost: 0.642046
181, cost: 0.649354
182, cost: 0.652557
183, cost: 0.649886
184, cost: 0.644239
185, cost: 0.649737
186, cost: 0.648545
187, cost: 0.647102
188, cost: 0.648643
189, cost: 0.648582
190, cost: 0.650020
191, cost: 0.649104
192, cost: 0.643921
193, cost: 0.642221
194, cost: 0.642774
195, cost: 0.643708
196, cost: 0.642466
197, cost: 0.642364
198, cost: 0.640714
199, cost: 0.638524
200, cost: 0.643483
201, cost: 0.642114
202, cost: 0.642481
203, cost: 0.640653
204, cost: 0.635983
205, cost: 0.639694
206, cost: 0.638926
207, cost: 0.635311
208, cost: 0.635254
209, cost: 0.635136
210, cost: 0.638740
211, cost: 0.639367
212, cost: 0.635001
213, cost: 0.636208
214, cost: 0.637499
215, cost: 0.637206
216, cost: 0.639143
217, cost: 0.635392
