train data: small + change data
mu = 0
batch_size = 128
batch_num = 1024
3 layers: 69-150-150-481, cost: 0.964987
2, cost: 0.904779
3, cost: 0.890655
4, cost: 0.858620
5, cost: 0.842220
6, cost: 0.831135
7, cost: 0.818303
8, cost: 0.802129
9, cost: 0.799914
10, cost: 0.796961
11, cost: 0.793383
12, cost: 0.783461
13, cost: 0.777181
14, cost: 0.776165
15, cost: 0.769060
16, cost: 0.765513
17, cost: 0.760929
18, cost: 0.762802
19, cost: 0.758535
20, cost: 0.755013
21, cost: 0.753025
22, cost: 0.754342
23, cost: 0.754285
24, cost: 0.750956
25, cost: 0.752172
26, cost: 0.748065
27, cost: 0.747454
28, cost: 0.746827
29, cost: 0.745347
30, cost: 0.746716
31, cost: 0.750063
32, cost: 0.746226
33, cost: 0.746773
34, cost: 0.741555
35, cost: 0.738509
36, cost: 0.736572
37, cost: 0.735973
38, cost: 0.733744
39, cost: 0.736228
40, cost: 0.735034
41, cost: 0.731279
42, cost: 0.730733
43, cost: 0.728601
44, cost: 0.728507
45, cost: 0.728675
46, cost: 0.726677
47, cost: 0.726748
48, cost: 0.721409
49, cost: 0.719739
50, cost: 0.717544
51, cost: 0.721182
52, cost: 0.720784
53, cost: 0.717644
54, cost: 0.716143
55, cost: 0.714052
56, cost: 0.716362
57, cost: 0.714218
58, cost: 0.711811
59, cost: 0.711012
60, cost: 0.711905
61, cost: 0.708573
62, cost: 0.708505
63, cost: 0.708766
64, cost: 0.704769
65, cost: 0.703129
66, cost: 0.703906
67, cost: 0.701601
68, cost: 0.702838
69, cost: 0.701301
70, cost: 0.699688
71, cost: 0.702020
72, cost: 0.702914
73, cost: 0.699071
74, cost: 0.700745
75, cost: 0.699920
76, cost: 0.698774
77, cost: 0.697791
78, cost: 0.697504
79, cost: 0.696438
80, cost: 0.695578
81, cost: 0.691409
82, cost: 0.693645
83, cost: 0.692784
84, cost: 0.690518
85, cost: 0.690254
86, cost: 0.688922
87, cost: 0.686995
88, cost: 0.688117
89, cost: 0.688151
90, cost: 0.686400
91, cost: 0.694770
92, cost: 0.691912
93, cost: 0.690150
94, cost: 0.689252
95, cost: 0.690688
96, cost: 0.687807
97, cost: 0.688969
98, cost: 0.690135
99, cost: 0.685687
100, cost: 0.689254
101, cost: 0.689778
102, cost: 0.687313
103, cost: 0.687547
104, cost: 0.686346
105, cost: 0.683961
106, cost: 0.684160
107, cost: 0.684036
108, cost: 0.682544
109, cost: 0.682041
110, cost: 0.682230
111, cost: 0.683517
112, cost: 0.680933
113, cost: 0.680350
114, cost: 0.676730
115, cost: 0.678237
116, cost: 0.675308
117, cost: 0.677315
118, cost: 0.673736
119, cost: 0.675136
120, cost: 0.673276
121, cost: 0.677332
122, cost: 0.676667
123, cost: 0.677505
124, cost: 0.676004
125, cost: 0.673419
126, cost: 0.674900
127, cost: 0.675197
128, cost: 0.670101
129, cost: 0.673264
130, cost: 0.672707
131, cost: 0.674749
132, cost: 0.672401
133, cost: 0.672826
134, cost: 0.666779
135, cost: 0.669709
136, cost: 0.672867
137, cost: 0.666776
138, cost: 0.667433
139, cost: 0.665261
140, cost: 0.665369
141, cost: 0.671151
142, cost: 0.670759
143, cost: 0.671265
144, cost: 0.668073
145, cost: 0.666713
146, cost: 0.666190
147, cost: 0.667403
148, cost: 0.665096
149, cost: 0.662786
150, cost: 0.663972
151, cost: 0.665848
152, cost: 0.668247
153, cost: 0.669573
154, cost: 0.667797
155, cost: 0.664221
156, cost: 0.665643
157, cost: 0.663836
158, cost: 0.662477
159, cost: 0.666311
160, cost: 0.665410
161, cost: 0.670647
162, cost: 0.668368
163, cost: 0.665075
164, cost: 0.661634
165, cost: 0.665574
166, cost: 0.666185
167, cost: 0.663326
168, cost: 0.662710
169, cost: 0.661624
170, cost: 0.658601
171, cost: 0.662463
172, cost: 0.665013
173, cost: 0.662837
174, cost: 0.662237
175, cost: 0.657924
176, cost: 0.661577
177, cost: 0.660985
178, cost: 0.658467
179, cost: 0.659476
180, cost: 0.658091
181, cost: 0.659442
182, cost: 0.661264
183, cost: 0.659209
184, cost: 0.659009
185, cost: 0.655221
186, cost: 0.655053
187, cost: 0.653510
188, cost: 0.655593
189, cost: 0.655888
190, cost: 0.651310
191, cost: 0.660484
192, cost: 0.657084
193, cost: 0.656788
194, cost: 0.655235
195, cost: 0.655874
196, cost: 0.652706
197, cost: 0.653815
198, cost: 0.652011
199, cost: 0.650708
200, cost: 0.650593
201, cost: 0.657081
202, cost: 0.656545
203, cost: 0.653017
204, cost: 0.656095
205, cost: 0.653754
206, cost: 0.655073
207, cost: 0.652005
208, cost: 0.652412
209, cost: 0.650398
210, cost: 0.648825
211, cost: 0.651984
212, cost: 0.649455
213, cost: 0.648660
214, cost: 0.649008
215, cost: 0.648450
216, cost: 0.646255
217, cost: 0.646461
218, cost: 0.645741
219, cost: 0.646575
220, cost: 0.647338
221, cost: 0.648970
222, cost: 0.647553
223, cost: 0.646662
224, cost: 0.644440
225, cost: 0.646501
226, cost: 0.644327
227, cost: 0.647453
228, cost: 0.643225
229, cost: 0.642441
230, cost: 0.643126
231, cost: 0.653323
232, cost: 0.648957
233, cost: 0.649309
234, cost: 0.649845
235, cost: 0.645201
236, cost: 0.647134
237, cost: 0.644647
238, cost: 0.644855
239, cost: 0.644973
240, cost: 0.646776
241, cost: 0.647564
242, cost: 0.646112
243, cost: 0.646428
244, cost: 0.648401
245, cost: 0.645895
246, cost: 0.643581
247, cost: 0.640879
248, cost: 0.644133
249, cost: 0.641279
250, cost: 0.643958
251, cost: 0.648590
252, cost: 0.646612
253, cost: 0.644874
254, cost: 0.643923
255, cost: 0.641890
256, cost: 0.640489
257, cost: 0.641362
258, cost: 0.641071
259, cost: 0.641041
260, cost: 0.638038
261, cost: 0.645305
262, cost: 0.642019
263, cost: 0.641245
264, cost: 0.639606
265, cost: 0.638248
266, cost: 0.637182
267, cost: 0.639198
268, cost: 0.635117
269, cost: 0.636462
270, cost: 0.636639
271, cost: 0.643814
272, cost: 0.644960
273, cost: 0.643102
274, cost: 0.641298
275, cost: 0.638685
276, cost: 0.641896
277, cost: 0.639631
278, cost: 0.644078
279, cost: 0.634153
280, cost: 0.636528
281, cost: 0.640682
282, cost: 0.638171
283, cost: 0.637605
284, cost: 0.637276
285, cost: 0.636230
286, cost: 0.635995
287, cost: 0.634528
288, cost: 0.636761
289, cost: 0.635478
290, cost: 0.632936
291, cost: 0.639671
292, cost: 0.638356
293, cost: 0.637082
294, cost: 0.635844
295, cost: 0.635737
296, cost: 0.633023
297, cost: 0.632969
298, cost: 0.635786
299, cost: 0.633054
300, cost: 0.634027
301, cost: 0.634279
302, cost: 0.630862
303, cost: 0.631017
304, cost: 0.632086
305, cost: 0.631443
306, cost: 0.630457
307, cost: 0.627675
308, cost: 0.628461
309, cost: 0.627726
310, cost: 0.627136
311, cost: 0.637966
312, cost: 0.632366
313, cost: 0.634436
314, cost: 0.632054
315, cost: 0.629822
316, cost: 0.632183
317, cost: 0.630856
318, cost: 0.631232
319, cost: 0.629729
320, cost: 0.628483
321, cost: 0.631666
322, cost: 0.634334
323, cost: 0.630455
324, cost: 0.633126
325, cost: 0.631092
326, cost: 0.630099
327, cost: 0.629756
328, cost: 0.629711
329, cost: 0.627380
330, cost: 0.627136
331, cost: 0.632236
332, cost: 0.628657
333, cost: 0.630397
334, cost: 0.627825
335, cost: 0.626025
336, cost: 0.627648
337, cost: 0.625748
338, cost: 0.623852
339, cost: 0.624256
340, cost: 0.625116
341, cost: 0.634686
342, cost: 0.632367
343, cost: 0.633487
344, cost: 0.628437
345, cost: 0.628899
346, cost: 0.630026
347, cost: 0.628343
348, cost: 0.629638
349, cost: 0.629331
350, cost: 0.627055
351, cost: 0.632749
352, cost: 0.634250
353, cost: 0.633123
354, cost: 0.630112
355, cost: 0.629156
356, cost: 0.626689
357, cost: 0.626946
358, cost: 0.626540
359, cost: 0.624034
360, cost: 0.623506
361, cost: 0.632160
362, cost: 0.628391
363, cost: 0.631746
364, cost: 0.627880
365, cost: 0.627264
366, cost: 0.627846
367, cost: 0.624509
368, cost: 0.625992
369, cost: 0.622137
370, cost: 0.624420
371, cost: 0.627550
372, cost: 0.623320
373, cost: 0.625817
374, cost: 0.627041
375, cost: 0.622160
376, cost: 0.625588
377, cost: 0.621838
378, cost: 0.619126
379, cost: 0.623154
380, cost: 0.620375
381, cost: 0.627638
382, cost: 0.626244
383, cost: 0.624697
384, cost: 0.623232
385, cost: 0.624370
386, cost: 0.624912
387, cost: 0.621967
388, cost: 0.621841
389, cost: 0.623002
390, cost: 0.621051
391, cost: 0.627626
392, cost: 0.625668
393, cost: 0.622856
394, cost: 0.627855
395, cost: 0.625188
396, cost: 0.621209
397, cost: 0.621861
398, cost: 0.620609
399, cost: 0.620406
400, cost: 0.621570
401, cost: 0.628921
402, cost: 0.627038
403, cost: 0.625709
404, cost: 0.624790
405, cost: 0.625984
406, cost: 0.622652
407, cost: 0.622691
408, cost: 0.620975
409, cost: 0.622142
410, cost: 0.620733
411, cost: 0.624522
412, cost: 0.625987
413, cost: 0.620680
414, cost: 0.623493
415, cost: 0.623269
416, cost: 0.624027
417, cost: 0.619725
418, cost: 0.622057
419, cost: 0.619243
420, cost: 0.619397
421, cost: 0.629745
422, cost: 0.627749
423, cost: 0.623188
424, cost: 0.624136
425, cost: 0.621660
426, cost: 0.622424
427, cost: 0.621481
428, cost: 0.621949
429, cost: 0.621263
430, cost: 0.619594
431, cost: 0.628445
432, cost: 0.624598
433, cost: 0.625861
434, cost: 0.623993
435, cost: 0.622480
436, cost: 0.621632
437, cost: 0.620871
438, cost: 0.616449
439, cost: 0.620361
440, cost: 0.617919
441, cost: 0.626771
442, cost: 0.624693
443, cost: 0.623775
444, cost: 0.621815
445, cost: 0.621290
446, cost: 0.621724
447, cost: 0.622251
448, cost: 0.619074
449, cost: 0.617970
450, cost: 0.621441
451, cost: 0.624519
452, cost: 0.625747
453, cost: 0.623244
454, cost: 0.623668
455, cost: 0.621561
456, cost: 0.620681
457, cost: 0.618744
458, cost: 0.618061
459, cost: 0.616017
460, cost: 0.620865
461, cost: 0.625115
462, cost: 0.621746
463, cost: 0.620088
464, cost: 0.619199
465, cost: 0.621319
466, cost: 0.619826
467, cost: 0.616930
468, cost: 0.618328
469, cost: 0.621056
470, cost: 0.622009
471, cost: 0.627174
472, cost: 0.626292
473, cost: 0.623352
474, cost: 0.626511
475, cost: 0.622035
476, cost: 0.621307
477, cost: 0.623345
478, cost: 0.620448
479, cost: 0.621559
480, cost: 0.620798
481, cost: 0.627905
482, cost: 0.623798
483, cost: 0.621615
484, cost: 0.620383
485, cost: 0.619689
486, cost: 0.618764
487, cost: 0.618172
488, cost: 0.621801
489, cost: 0.620763
490, cost: 0.618871
491, cost: 0.622974
492, cost: 0.623164
493, cost: 0.619004
494, cost: 0.618496
495, cost: 0.617937
496, cost: 0.619258
497, cost: 0.617414
498, cost: 0.616312
499, cost: 0.615984
500, cost: 0.614087
501, cost: 0.627338
502, cost: 0.625580
503, cost: 0.621710
504, cost: 0.623755
505, cost: 0.622356
506, cost: 0.622987
507, cost: 0.623419
508, cost: 0.618589
509, cost: 0.618947
510, cost: 0.619522
511, cost: 0.626211
512, cost: 0.623861
513, cost: 0.622986
514, cost: 0.622427
515, cost: 0.622127
516, cost: 0.621722
517, cost: 0.621603
518, cost: 0.620672
519, cost: 0.621229
520, cost: 0.618263
521, cost: 0.623859
522, cost: 0.622519
523, cost: 0.623726
524, cost: 0.620676
525, cost: 0.619874
526, cost: 0.620650
527, cost: 0.617087
528, cost: 0.616943
529, cost: 0.616267
530, cost: 0.617359
531, cost: 0.621845
532, cost: 0.618854
533, cost: 0.619538
534, cost: 0.622434
535, cost: 0.618100
536, cost: 0.618009
537, cost: 0.618408
538, cost: 0.618348
539, cost: 0.616466
540, cost: 0.616507
541, cost: 0.627050
542, cost: 0.622382
543, cost: 0.623869
544, cost: 0.623987
545, cost: 0.623156
546, cost: 0.619538
547, cost: 0.620205
548, cost: 0.622115
549, cost: 0.618641
550, cost: 0.618879
551, cost: 0.623152
552, cost: 0.622149
553, cost: 0.621267
554, cost: 0.619856
555, cost: 0.616314
556, cost: 0.617990
557, cost: 0.615677
558, cost: 0.616419
559, cost: 0.615192
560, cost: 0.614736
561, cost: 0.621448
562, cost: 0.621370
563, cost: 0.617628
564, cost: 0.620426
565, cost: 0.614652
566, cost: 0.616156
567, cost: 0.612362
568, cost: 0.614025
569, cost: 0.616873
570, cost: 0.613297
571, cost: 0.626145
572, cost: 0.625445
573, cost: 0.620391
574, cost: 0.617239
575, cost: 0.616129
576, cost: 0.618705
577, cost: 0.616829
578, cost: 0.617984
579, cost: 0.617630
580, cost: 0.614310
581, cost: 0.622881
582, cost: 0.621568
583, cost: 0.620624
584, cost: 0.622228
585, cost: 0.617525
586, cost: 0.618281
587, cost: 0.619474
588, cost: 0.620314
589, cost: 0.616495
590, cost: 0.618326
591, cost: 0.614090
592, cost: 0.615124
593, cost: 0.611733
594, cost: 0.616825
595, cost: 0.613750
596, cost: 0.613954
597, cost: 0.612957
598, cost: 0.614463
599, cost: 0.613750
600, cost: 0.615887
601, cost: 0.625746
602, cost: 0.621859
603, cost: 0.620403
604, cost: 0.617330
605, cost: 0.617597
606, cost: 0.615768
607, cost: 0.619386
608, cost: 0.618009
609, cost: 0.615214
610, cost: 0.618765
611, cost: 0.617855
612, cost: 0.617995
613, cost: 0.613677
614, cost: 0.615566
615, cost: 0.614215
616, cost: 0.612996
617, cost: 0.610410
618, cost: 0.612248
619, cost: 0.610220
620, cost: 0.610562
621, cost: 0.623579
622, cost: 0.619556
623, cost: 0.616686
624, cost: 0.616724
625, cost: 0.615990
626, cost: 0.617026
627, cost: 0.613787
628, cost: 0.612264
629, cost: 0.614831
630, cost: 0.615727
631, cost: 0.619309
632, cost: 0.618254
633, cost: 0.616537
634, cost: 0.614670
635, cost: 0.613837
636, cost: 0.614167
637, cost: 0.613217
638, cost: 0.611168
639, cost: 0.613791
640, cost: 0.612267
641, cost: 0.620073
642, cost: 0.614279
643, cost: 0.611705
644, cost: 0.614083
645, cost: 0.612018
646, cost: 0.610600
647, cost: 0.610884
648, cost: 0.609418
649, cost: 0.608371
650, cost: 0.607459
651, cost: 0.622234
652, cost: 0.617365
653, cost: 0.616921
654, cost: 0.616427
655, cost: 0.612212
656, cost: 0.613849
657, cost: 0.612690
658, cost: 0.612784
659, cost: 0.612023
660, cost: 0.613254
661, cost: 0.617561
662, cost: 0.613856
663, cost: 0.611833
664, cost: 0.610161
665, cost: 0.610374
666, cost: 0.606939
667, cost: 0.609493
668, cost: 0.609165
669, cost: 0.609152
670, cost: 0.609294
671, cost: 0.617409
672, cost: 0.615116
673, cost: 0.616529
674, cost: 0.612109
675, cost: 0.608876
676, cost: 0.613118
677, cost: 0.610435
678, cost: 0.610357
679, cost: 0.611383
680, cost: 0.609084
681, cost: 0.616608
682, cost: 0.618428
683, cost: 0.615233
684, cost: 0.615039
685, cost: 0.616047
686, cost: 0.614651
687, cost: 0.617284
688, cost: 0.614415
689, cost: 0.614697
690, cost: 0.612969
691, cost: 0.615926
692, cost: 0.617221
693, cost: 0.610069
694, cost: 0.613029
695, cost: 0.610194
696, cost: 0.609614
697, cost: 0.611750
698, cost: 0.608436
699, cost: 0.609923
700, cost: 0.609613
701, cost: 0.616960
702, cost: 0.615208
703, cost: 0.612478
704, cost: 0.611864
705, cost: 0.610891
706, cost: 0.609909
707, cost: 0.611039
708, cost: 0.609778
709, cost: 0.608345
710, cost: 0.610193
711, cost: 0.618947
712, cost: 0.615607
713, cost: 0.612589
714, cost: 0.614676
715, cost: 0.613402
716, cost: 0.611281
717, cost: 0.611925
718, cost: 0.610125
719, cost: 0.610612
720, cost: 0.609084
721, cost: 0.619515
722, cost: 0.615171
723, cost: 0.616310
724, cost: 0.615221
725, cost: 0.615855
726, cost: 0.610522
727, cost: 0.612868
728, cost: 0.611213
729, cost: 0.611931
730, cost: 0.611321
731, cost: 0.616951
732, cost: 0.615994
733, cost: 0.612275
734, cost: 0.614936
735, cost: 0.611642
736, cost: 0.612398
737, cost: 0.613680
738, cost: 0.610035
739, cost: 0.610472
740, cost: 0.607714
741, cost: 0.614323
742, cost: 0.612053
743, cost: 0.610867
744, cost: 0.609489
745, cost: 0.610665
746, cost: 0.607389
747, cost: 0.611604
748, cost: 0.606520
749, cost: 0.604786
750, cost: 0.605474
751, cost: 0.612536
752, cost: 0.612127
753, cost: 0.611398
754, cost: 0.611051
755, cost: 0.608202
756, cost: 0.609938
757, cost: 0.608876
758, cost: 0.610256
759, cost: 0.606985
760, cost: 0.604869
761, cost: 0.612863
762, cost: 0.611550
763, cost: 0.611441
764, cost: 0.610944
765, cost: 0.606346
766, cost: 0.608940
767, cost: 0.606333
768, cost: 0.605272
769, cost: 0.606664
770, cost: 0.605800
771, cost: 0.612523
772, cost: 0.611093
773, cost: 0.609842
774, cost: 0.607765
775, cost: 0.608233
776, cost: 0.605960
777, cost: 0.607842
778, cost: 0.606886
779, cost: 0.605493
780, cost: 0.605581
781, cost: 0.616173
782, cost: 0.611041
783, cost: 0.609662
784, cost: 0.607787
785, cost: 0.609784
786, cost: 0.609647
787, cost: 0.608670
788, cost: 0.608099
789, cost: 0.608871
790, cost: 0.605599
791, cost: 0.615353
792, cost: 0.612766
793, cost: 0.609250
794, cost: 0.609427
795, cost: 0.610188
796, cost: 0.608773
797, cost: 0.605089
798, cost: 0.605346
799, cost: 0.603417
800, cost: 0.605093
801, cost: 0.614571
802, cost: 0.612200
803, cost: 0.612066
804, cost: 0.610678
805, cost: 0.607953
806, cost: 0.605563
807, cost: 0.605956
808, cost: 0.604838
809, cost: 0.605452
810, cost: 0.605309
811, cost: 0.613686
812, cost: 0.607989
813, cost: 0.609479
814, cost: 0.608233
815, cost: 0.608611
816, cost: 0.607543
817, cost: 0.605838
818, cost: 0.604729
819, cost: 0.607363
820, cost: 0.607347
821, cost: 0.606132
822, cost: 0.608773
823, cost: 0.608486
824, cost: 0.602915
825, cost: 0.605772
826, cost: 0.603029
827, cost: 0.604152
828, cost: 0.603189
829, cost: 0.602233
830, cost: 0.601824
831, cost: 0.609826
832, cost: 0.607370
833, cost: 0.606708
834, cost: 0.608089
835, cost: 0.604721
836, cost: 0.605665
837, cost: 0.604506
838, cost: 0.602105
839, cost: 0.603101
840, cost: 0.600982
841, cost: 0.612968
842, cost: 0.609244
843, cost: 0.605732
844, cost: 0.606692
845, cost: 0.603880
846, cost: 0.606260
847, cost: 0.604236
848, cost: 0.602355
849, cost: 0.606662
850, cost: 0.600814
851, cost: 0.607336
852, cost: 0.603565
853, cost: 0.601123
854, cost: 0.602698
855, cost: 0.601686
856, cost: 0.602783
857, cost: 0.600553
858, cost: 0.601027
859, cost: 0.601913
860, cost: 0.600409
861, cost: 0.609392
862, cost: 0.610199
863, cost: 0.607449
864, cost: 0.607715
865, cost: 0.603430
866, cost: 0.601466
867, cost: 0.605011
868, cost: 0.601226
869, cost: 0.603694
870, cost: 0.599166
871, cost: 0.611204
872, cost: 0.610895
873, cost: 0.609154
874, cost: 0.605734
875, cost: 0.607754
876, cost: 0.606083
877, cost: 0.603731
878, cost: 0.605951
879, cost: 0.604620
880, cost: 0.600984
881, cost: 0.611200
882, cost: 0.608061
883, cost: 0.606817
884, cost: 0.608196
885, cost: 0.603906
886, cost: 0.602924
887, cost: 0.603486
888, cost: 0.601776
889, cost: 0.602779
890, cost: 0.603903
891, cost: 0.607220
892, cost: 0.605300
893, cost: 0.602597
894, cost: 0.602589
895, cost: 0.603196
896, cost: 0.601128
897, cost: 0.603762
898, cost: 0.602262
899, cost: 0.601000
900, cost: 0.602033
901, cost: 0.607014
902, cost: 0.606438
903, cost: 0.603436
904, cost: 0.601503
905, cost: 0.600392
906, cost: 0.603186
907, cost: 0.597417
908, cost: 0.600010
909, cost: 0.599293
910, cost: 0.599813
911, cost: 0.604964
912, cost: 0.601721
913, cost: 0.598249
914, cost: 0.598464
915, cost: 0.599234
916, cost: 0.598511
917, cost: 0.598401
