train data: small + change data
mu = 0.001000, decay = 0.999900
activation function: ReLU
batch_size = 128
batch_num = 1024
3 layers: 69-256-256-48
1, cost: 0.962520
2, cost: 0.885589
3, cost: 0.814589
4, cost: 0.784990
5, cost: 0.771680
6, cost: 0.762238
7, cost: 0.756383
8, cost: 0.751887
9, cost: 0.745411
10, cost: 0.748193
11, cost: 0.746452
12, cost: 0.743995
13, cost: 0.738784
14, cost: 0.739410
15, cost: 0.736012
16, cost: 0.734227
17, cost: 0.733276
18, cost: 0.732201
19, cost: 0.727724
20, cost: 0.726011
21, cost: 0.726476
22, cost: 0.721064
23, cost: 0.723519
24, cost: 0.720126
25, cost: 0.721922
26, cost: 0.717029
27, cost: 0.713377
28, cost: 0.713902
29, cost: 0.709257
30, cost: 0.708882
31, cost: 0.708457
32, cost: 0.712465
33, cost: 0.708130
34, cost: 0.706655
35, cost: 0.709601
36, cost: 0.705702
37, cost: 0.705945
38, cost: 0.700714
39, cost: 0.699578
40, cost: 0.699581
41, cost: 0.701401
42, cost: 0.701053
43, cost: 0.697684
44, cost: 0.696138
45, cost: 0.698114
46, cost: 0.696259
47, cost: 0.697213
48, cost: 0.696699
49, cost: 0.697607
50, cost: 0.694603
51, cost: 0.696559
52, cost: 0.695336
53, cost: 0.696085
54, cost: 0.695051
55, cost: 0.690433
56, cost: 0.693409
57, cost: 0.691845
58, cost: 0.685987
59, cost: 0.687820
60, cost: 0.685791
61, cost: 0.687826
62, cost: 0.684925
63, cost: 0.684970
64, cost: 0.684811
65, cost: 0.683923
66, cost: 0.680996
67, cost: 0.680426
68, cost: 0.680091
69, cost: 0.679371
70, cost: 0.680501
71, cost: 0.677757
72, cost: 0.677368
73, cost: 0.675101
74, cost: 0.678445
75, cost: 0.678514
76, cost: 0.674718
77, cost: 0.672669
78, cost: 0.671788
79, cost: 0.670940
80, cost: 0.670656
81, cost: 0.673439
82, cost: 0.675239
83, cost: 0.673928
84, cost: 0.669270
85, cost: 0.671449
86, cost: 0.671684
87, cost: 0.668003
88, cost: 0.670595
89, cost: 0.667610
90, cost: 0.663913
91, cost: 0.666972
92, cost: 0.665387
93, cost: 0.663767
94, cost: 0.662765
95, cost: 0.661234
96, cost: 0.659940
97, cost: 0.660365
98, cost: 0.657948
99, cost: 0.659857
100, cost: 0.660497
101, cost: 0.664884
102, cost: 0.663703
103, cost: 0.661610
104, cost: 0.663870
105, cost: 0.662191
106, cost: 0.662227
107, cost: 0.658380
108, cost: 0.657596
109, cost: 0.656771
110, cost: 0.656947
111, cost: 0.655490
112, cost: 0.656839
113, cost: 0.654717
114, cost: 0.657919
115, cost: 0.657438
116, cost: 0.654794
117, cost: 0.654922
118, cost: 0.652068
119, cost: 0.652381
120, cost: 0.650682
121, cost: 0.657562
122, cost: 0.658994
123, cost: 0.657785
124, cost: 0.656946
125, cost: 0.655947
126, cost: 0.653639
127, cost: 0.653730
128, cost: 0.654940
129, cost: 0.655247
130, cost: 0.650230
131, cost: 0.651062
132, cost: 0.650874
133, cost: 0.648806
134, cost: 0.649540
135, cost: 0.648047
136, cost: 0.648607
137, cost: 0.646650
138, cost: 0.644695
139, cost: 0.644743
140, cost: 0.644745
141, cost: 0.649451
142, cost: 0.648507
143, cost: 0.645603
144, cost: 0.645157
145, cost: 0.644189
146, cost: 0.641655
147, cost: 0.641718
148, cost: 0.645695
149, cost: 0.641671
150, cost: 0.641815
151, cost: 0.640623
152, cost: 0.640740
153, cost: 0.641113
154, cost: 0.639238
155, cost: 0.639159
156, cost: 0.639132
157, cost: 0.638469
158, cost: 0.637090
159, cost: 0.638216
160, cost: 0.637582
161, cost: 0.649421
162, cost: 0.644834
163, cost: 0.644987
164, cost: 0.644446
165, cost: 0.642662
166, cost: 0.644028
167, cost: 0.641849
168, cost: 0.641197
169, cost: 0.638681
170, cost: 0.640231
171, cost: 0.636341
172, cost: 0.637539
173, cost: 0.635873
174, cost: 0.637260
175, cost: 0.639277
176, cost: 0.633270
177, cost: 0.634841
178, cost: 0.634905
179, cost: 0.633901
180, cost: 0.631472
181, cost: 0.639488
182, cost: 0.637699
183, cost: 0.633982
184, cost: 0.636069
185, cost: 0.632408
186, cost: 0.634817
187, cost: 0.631288
188, cost: 0.633548
189, cost: 0.631041
190, cost: 0.631047
191, cost: 0.626023
192, cost: 0.629057
193, cost: 0.630838
194, cost: 0.628741
195, cost: 0.625672
196, cost: 0.623860
197, cost: 0.626314
198, cost: 0.623464
199, cost: 0.625616
200, cost: 0.622544
201, cost: 0.633959
202, cost: 0.629681
203, cost: 0.630678
204, cost: 0.630558
205, cost: 0.630155
206, cost: 0.627258
207, cost: 0.628540
208, cost: 0.627841
209, cost: 0.621849
210, cost: 0.624440
211, cost: 0.623022
212, cost: 0.623711
213, cost: 0.621901
214, cost: 0.621214
215, cost: 0.620997
216, cost: 0.618534
217, cost: 0.620204
218, cost: 0.620120
219, cost: 0.618727
220, cost: 0.616319
221, cost: 0.634495
222, cost: 0.632664
223, cost: 0.630397
224, cost: 0.629982
225, cost: 0.627340
226, cost: 0.626820
227, cost: 0.627720
228, cost: 0.624832
229, cost: 0.623988
230, cost: 0.624025
231, cost: 0.622284
232, cost: 0.621176
233, cost: 0.623485
234, cost: 0.623669
235, cost: 0.625002
236, cost: 0.624030
237, cost: 0.618306
238, cost: 0.623130
239, cost: 0.621023
240, cost: 0.619912
241, cost: 0.618559
