train data: small + change data
momentum
lambda = 0.900000
mu = 0.01
mu *= 0.9999batch_size = 256
batch_num = 1024
3 layers: 69-256-256-481, cost: 1.009855
2, cost: 0.996396
3, cost: 0.996770
4, cost: 0.995134
5, cost: 0.981594
6, cost: 0.946325
7, cost: 0.904247
8, cost: 0.855421
9, cost: 0.828043
10, cost: 0.809075
11, cost: 0.789779
12, cost: 0.771799
13, cost: 0.761992
14, cost: 0.758903
15, cost: 0.747479
16, cost: 0.744393
17, cost: 0.734584
18, cost: 0.731343
19, cost: 0.724761
20, cost: 0.724480
21, cost: 0.724904
22, cost: 0.721938
23, cost: 0.719316
24, cost: 0.713087
25, cost: 0.710085
26, cost: 0.706727
27, cost: 0.705091
28, cost: 0.704023
29, cost: 0.704027
30, cost: 0.701028
31, cost: 0.700509
32, cost: 0.696387
33, cost: 0.692526
34, cost: 0.695461
35, cost: 0.691832
36, cost: 0.689498
37, cost: 0.689642
38, cost: 0.687959
39, cost: 0.684073
40, cost: 0.682287
41, cost: 0.681819
42, cost: 0.680399
43, cost: 0.677440
44, cost: 0.678009
45, cost: 0.676717
46, cost: 0.674928
47, cost: 0.674356
48, cost: 0.673836
49, cost: 0.671886
50, cost: 0.669941
51, cost: 0.671353
52, cost: 0.670859
53, cost: 0.669911
54, cost: 0.668114
55, cost: 0.666413
56, cost: 0.665092
57, cost: 0.665510
58, cost: 0.662489
59, cost: 0.662274
60, cost: 0.661278
61, cost: 0.662896
62, cost: 0.663786
63, cost: 0.660516
64, cost: 0.659221
65, cost: 0.660814
66, cost: 0.658103
67, cost: 0.656920
68, cost: 0.654326
69, cost: 0.653766
70, cost: 0.651300
71, cost: 0.656596
72, cost: 0.654584
73, cost: 0.652462
74, cost: 0.651280
75, cost: 0.650163
76, cost: 0.649382
77, cost: 0.650314
78, cost: 0.648766
79, cost: 0.647033
80, cost: 0.647674
81, cost: 0.652424
82, cost: 0.651615
83, cost: 0.650401
84, cost: 0.649295
85, cost: 0.649131
86, cost: 0.648750
87, cost: 0.650298
88, cost: 0.648123
89, cost: 0.647225
90, cost: 0.646643
91, cost: 0.651289
92, cost: 0.649647
93, cost: 0.646317
94, cost: 0.647028
95, cost: 0.645466
96, cost: 0.643643
97, cost: 0.641524
98, cost: 0.642515
99, cost: 0.639475
100, cost: 0.640488
101, cost: 0.645310
102, cost: 0.643668
103, cost: 0.641925
104, cost: 0.641958
105, cost: 0.639866
106, cost: 0.639055
107, cost: 0.638824
108, cost: 0.638339
109, cost: 0.636732
110, cost: 0.634268
111, cost: 0.640640
112, cost: 0.638270
113, cost: 0.639233
114, cost: 0.637572
115, cost: 0.635864
116, cost: 0.636539
117, cost: 0.634971
118, cost: 0.633094
119, cost: 0.631209
120, cost: 0.631951
121, cost: 0.635491
122, cost: 0.632963
123, cost: 0.632572
124, cost: 0.631721
125, cost: 0.630966
126, cost: 0.630696
127, cost: 0.627163
128, cost: 0.627939
129, cost: 0.629326
130, cost: 0.626373
131, cost: 0.634278
132, cost: 0.632807
133, cost: 0.631027
134, cost: 0.630175
135, cost: 0.627030
136, cost: 0.627599
137, cost: 0.628261
138, cost: 0.625682
139, cost: 0.623770
140, cost: 0.625159
141, cost: 0.629191
142, cost: 0.629638
143, cost: 0.625699
144, cost: 0.624188
145, cost: 0.624180
146, cost: 0.621741
147, cost: 0.622058
148, cost: 0.622959
149, cost: 0.620984
150, cost: 0.620449
151, cost: 0.626304
152, cost: 0.622410
153, cost: 0.622701
154, cost: 0.622678
155, cost: 0.621612
156, cost: 0.619359
157, cost: 0.617181
158, cost: 0.616493
159, cost: 0.617187
160, cost: 0.615898
161, cost: 0.627160
162, cost: 0.623674
163, cost: 0.623757
164, cost: 0.621033
165, cost: 0.620472
166, cost: 0.618953
167, cost: 0.618457
168, cost: 0.616569
169, cost: 0.616950
170, cost: 0.615408
171, cost: 0.620859
172, cost: 0.619398
173, cost: 0.616790
174, cost: 0.616307
175, cost: 0.613369
176, cost: 0.613474
177, cost: 0.613588
178, cost: 0.612773
179, cost: 0.610858
180, cost: 0.611354
181, cost: 0.621007
182, cost: 0.617626
183, cost: 0.617006
184, cost: 0.617182
185, cost: 0.614720
186, cost: 0.614107
187, cost: 0.610308
188, cost: 0.611904
189, cost: 0.611503
190, cost: 0.610130
191, cost: 0.616073
192, cost: 0.612276
193, cost: 0.612171
194, cost: 0.612661
195, cost: 0.610505
196, cost: 0.609853
197, cost: 0.609371
198, cost: 0.607154
199, cost: 0.609384
200, cost: 0.605957
201, cost: 0.614533
202, cost: 0.611981
203, cost: 0.610201
204, cost: 0.608849
205, cost: 0.609956
206, cost: 0.608107
