train data: small + change data
momentum
lambda = 0.500000
mu = 0
mu *= 0.9999batch_size = 256
batch_num = 1024
3 layers: 69-256-256-481, cost: 1.008940
2, cost: 0.992158
3, cost: 0.986762
4, cost: 0.989442
5, cost: 0.986794
6, cost: 0.983580
7, cost: 0.981804
8, cost: 0.980490
9, cost: 0.974948
10, cost: 0.963990
11, cost: 0.956988
12, cost: 0.952100
13, cost: 0.945384
14, cost: 0.907533
15, cost: 0.861481
16, cost: 0.840739
17, cost: 0.807918
18, cost: 0.784790
19, cost: 0.768483
20, cost: 0.749949
21, cost: 0.744383
22, cost: 0.738146
23, cost: 0.729549
24, cost: 0.724111
25, cost: 0.721902
26, cost: 0.717393
27, cost: 0.712776
28, cost: 0.708225
29, cost: 0.707942
30, cost: 0.702245
31, cost: 0.704054
32, cost: 0.700446
33, cost: 0.696508
34, cost: 0.694915
35, cost: 0.690924
36, cost: 0.690174
37, cost: 0.687755
38, cost: 0.684769
39, cost: 0.684156
40, cost: 0.682079
41, cost: 0.685068
42, cost: 0.681806
43, cost: 0.679734
44, cost: 0.677552
45, cost: 0.675181
46, cost: 0.672800
47, cost: 0.671823
48, cost: 0.670511
49, cost: 0.668181
50, cost: 0.666927
51, cost: 0.671818
52, cost: 0.665904
53, cost: 0.665230
54, cost: 0.664213
55, cost: 0.662802
56, cost: 0.661565
57, cost: 0.658641
58, cost: 0.658398
59, cost: 0.655358
60, cost: 0.655234
61, cost: 0.658680
62, cost: 0.655720
63, cost: 0.655216
64, cost: 0.653896
65, cost: 0.653822
66, cost: 0.650659
67, cost: 0.649964
68, cost: 0.649277
69, cost: 0.648458
70, cost: 0.646699
71, cost: 0.650648
72, cost: 0.649587
73, cost: 0.647340
74, cost: 0.646142
75, cost: 0.646378
76, cost: 0.642409
77, cost: 0.643987
78, cost: 0.642751
79, cost: 0.641463
80, cost: 0.640857
81, cost: 0.638662
82, cost: 0.638873
83, cost: 0.635455
84, cost: 0.635573
85, cost: 0.634713
86, cost: 0.631463
87, cost: 0.633602
88, cost: 0.633171
89, cost: 0.631866
90, cost: 0.631981
91, cost: 0.638067
92, cost: 0.637138
93, cost: 0.638387
94, cost: 0.636305
95, cost: 0.634357
96, cost: 0.633119
97, cost: 0.631240
98, cost: 0.630510
99, cost: 0.630511
100, cost: 0.628665
101, cost: 0.632121
102, cost: 0.628517
103, cost: 0.627798
104, cost: 0.625555
105, cost: 0.624228
106, cost: 0.624840
107, cost: 0.623859
108, cost: 0.623755
109, cost: 0.621674
110, cost: 0.622018
111, cost: 0.629859
112, cost: 0.627864
113, cost: 0.626928
114, cost: 0.624955
115, cost: 0.623456
116, cost: 0.624630
117, cost: 0.621347
118, cost: 0.621210
119, cost: 0.619988
120, cost: 0.619659
121, cost: 0.626418
122, cost: 0.623151
123, cost: 0.622166
124, cost: 0.619645
125, cost: 0.619821
126, cost: 0.617894
127, cost: 0.616215
128, cost: 0.615716
129, cost: 0.615577
130, cost: 0.615575
131, cost: 0.624092
132, cost: 0.622609
133, cost: 0.620007
134, cost: 0.620149
135, cost: 0.618333
136, cost: 0.615173
137, cost: 0.615767
138, cost: 0.613589
139, cost: 0.613644
140, cost: 0.614965
141, cost: 0.621757
142, cost: 0.617871
143, cost: 0.616207
144, cost: 0.616300
145, cost: 0.613772
146, cost: 0.611992
147, cost: 0.612044
148, cost: 0.609777
149, cost: 0.609339
150, cost: 0.609907
151, cost: 0.616950
152, cost: 0.613082
153, cost: 0.613673
154, cost: 0.610895
155, cost: 0.610515
156, cost: 0.608866
157, cost: 0.607714
158, cost: 0.609242
159, cost: 0.606101
160, cost: 0.604750
161, cost: 0.613063
162, cost: 0.610515
163, cost: 0.609700
164, cost: 0.609489
165, cost: 0.606630
166, cost: 0.605010
167, cost: 0.605015
168, cost: 0.603017
169, cost: 0.603155
170, cost: 0.602177
171, cost: 0.614814
172, cost: 0.613847
173, cost: 0.611757
174, cost: 0.611443
175, cost: 0.609050
176, cost: 0.607912
177, cost: 0.607005
178, cost: 0.605531
179, cost: 0.604624
180, cost: 0.604516
181, cost: 0.608564
182, cost: 0.606643
183, cost: 0.605710
184, cost: 0.602289
185, cost: 0.603122
186, cost: 0.602171
187, cost: 0.599704
188, cost: 0.598718
189, cost: 0.599633
190, cost: 0.596895
191, cost: 0.608470
192, cost: 0.604660
193, cost: 0.603920
194, cost: 0.603445
195, cost: 0.601716
196, cost: 0.600662
197, cost: 0.599991
198, cost: 0.598696
199, cost: 0.598826
200, cost: 0.598049
201, cost: 0.604310
202, cost: 0.601252
203, cost: 0.600372
204, cost: 0.597545
205, cost: 0.596144
206, cost: 0.594960
207, cost: 0.594513
208, cost: 0.594155
209, cost: 0.593293
210, cost: 0.592235
211, cost: 0.606868
212, cost: 0.604488
213, cost: 0.601287
214, cost: 0.602072
215, cost: 0.599164
216, cost: 0.597305
217, cost: 0.597346
218, cost: 0.595599
219, cost: 0.597272
220, cost: 0.593735
221, cost: 0.601404
222, cost: 0.598032
223, cost: 0.597246
224, cost: 0.595836
225, cost: 0.596524
226, cost: 0.592949
227, cost: 0.594112
228, cost: 0.592452
229, cost: 0.589274
230, cost: 0.591885
231, cost: 0.596444
232, cost: 0.594485
233, cost: 0.594463
234, cost: 0.592833
235, cost: 0.588925
236, cost: 0.589604
237, cost: 0.589008
238, cost: 0.586627
239, cost: 0.588543
240, cost: 0.586460
241, cost: 0.602564
242, cost: 0.599633
243, cost: 0.597803
244, cost: 0.595933
245, cost: 0.594645
246, cost: 0.595179
247, cost: 0.594309
248, cost: 0.591793
249, cost: 0.591501
250, cost: 0.589708
251, cost: 0.600297
252, cost: 0.594319
253, cost: 0.594053
254, cost: 0.592797
255, cost: 0.590459
256, cost: 0.589297
257, cost: 0.588042
258, cost: 0.587878
259, cost: 0.587397
260, cost: 0.585748
261, cost: 0.598500
262, cost: 0.596063
263, cost: 0.591935
264, cost: 0.592231
265, cost: 0.589712
266, cost: 0.589884
267, cost: 0.585525
268, cost: 0.588320
269, cost: 0.588683
270, cost: 0.586026
271, cost: 0.594949
272, cost: 0.592009
273, cost: 0.590996
274, cost: 0.588712
275, cost: 0.590112
276, cost: 0.589231
277, cost: 0.587724
278, cost: 0.586918
279, cost: 0.583910
280, cost: 0.583277
281, cost: 0.594899
282, cost: 0.592077
283, cost: 0.589850
284, cost: 0.588780
285, cost: 0.584753
286, cost: 0.585404
287, cost: 0.583726
288, cost: 0.585856
289, cost: 0.584198
290, cost: 0.582137
291, cost: 0.596234
292, cost: 0.592016
293, cost: 0.590414
294, cost: 0.586799
295, cost: 0.586177
296, cost: 0.585573
297, cost: 0.583764
298, cost: 0.583562
299, cost: 0.584176
300, cost: 0.581587
301, cost: 0.592362
302, cost: 0.591892
303, cost: 0.590222
304, cost: 0.587998
305, cost: 0.586068
306, cost: 0.585876
307, cost: 0.585884
308, cost: 0.583646
309, cost: 0.582259
310, cost: 0.582846
311, cost: 0.592709
312, cost: 0.588897
313, cost: 0.586486
314, cost: 0.584885
315, cost: 0.583328
316, cost: 0.583113
317, cost: 0.581253
318, cost: 0.579300
319, cost: 0.579392
320, cost: 0.579631
321, cost: 0.588684
322, cost: 0.585964
323, cost: 0.584139
324, cost: 0.581805
325, cost: 0.580624
326, cost: 0.580236
327, cost: 0.578968
328, cost: 0.577085
329, cost: 0.576191
330, cost: 0.575464
331, cost: 0.589039
332, cost: 0.586638
333, cost: 0.584492
334, cost: 0.582954
335, cost: 0.581427
336, cost: 0.580735
337, cost: 0.577398
338, cost: 0.578450
339, cost: 0.577354
340, cost: 0.578523
341, cost: 0.590709
342, cost: 0.586601
343, cost: 0.584747
344, cost: 0.583059
345, cost: 0.581438
346, cost: 0.582657
347, cost: 0.579048
348, cost: 0.579797
349, cost: 0.577418
350, cost: 0.575096
351, cost: 0.585331
352, cost: 0.582602
353, cost: 0.579983
354, cost: 0.579489
355, cost: 0.578132
356, cost: 0.576590
357, cost: 0.575570
358, cost: 0.575094
359, cost: 0.573796
360, cost: 0.573945
361, cost: 0.588672
362, cost: 0.584517
363, cost: 0.584114
364, cost: 0.581403
365, cost: 0.580627
366, cost: 0.577278
367, cost: 0.577913
368, cost: 0.577246
369, cost: 0.576377
370, cost: 0.577801
371, cost: 0.588745
372, cost: 0.586065
373, cost: 0.582505
