iteration,cost
1,4.604265
2,4.566239
3,4.562604
4,4.568419
5,4.558810
6,4.527629
7,4.526818
8,4.552271
9,4.517538
10,4.468588
11,4.491275
12,4.280067
13,4.168945
14,4.131066
15,4.071369
16,4.065630
17,4.022497
18,3.992005
19,3.982773
20,3.950906
21,3.949508
22,3.909069
23,3.891856
24,3.888416
25,3.866432
26,3.831499
27,3.805716
28,3.807863
29,3.784312
30,3.775679
31,3.762612
32,3.754353
33,3.730105
34,3.733431
35,3.694525
36,3.695889
37,3.689182
38,3.665320
39,3.673172
40,3.674932
41,3.685314
42,3.669400
43,3.640646
44,3.599620
45,3.602324
46,3.558220
47,3.574234
48,3.551198
49,3.526424
50,3.525664
51,3.490593
52,3.499303
53,3.476263
54,3.462509
55,3.450735
56,3.441222
57,3.420536
58,3.413730
59,3.413194
60,3.390108
61,3.372023
62,3.347579
63,3.339847
64,3.332817
65,3.308279
66,3.288715
67,3.304504
68,3.271927
69,3.270175
70,3.243494
71,3.227941
72,3.212179
73,3.162113
74,3.166774
75,3.151580
76,3.139002
77,3.129345
78,3.125891
79,3.108947
80,3.082293
81,3.082648
82,3.084604
83,3.074661
84,3.063743
85,3.049369
86,3.039548
87,3.043300
88,3.027056
89,3.001266
90,2.996870
91,2.982670
92,2.974709
93,2.978097
94,2.951378
95,2.949059
96,2.915406
97,2.921560
98,2.920939
99,2.918258
100,2.884555
101,2.882848
102,2.887273
103,2.872602
104,2.875078
105,2.852658
106,2.858728
107,2.868353
108,2.835470
109,2.845696
110,2.842170
111,2.817129
112,2.817735
113,2.814030
114,2.821616
115,2.807123
116,2.792475
117,2.787453
118,2.759719
119,2.762159
120,2.777095
121,2.752108
122,2.748982
123,2.748290
124,2.736818
125,2.727358
126,2.729726
127,2.728457
128,2.721248
129,2.733676
130,2.704509
131,2.715348
132,2.708250
133,2.702145
134,2.691807
135,2.674726
136,2.692211
137,2.694053
138,2.670289
139,2.665736
140,2.656773
141,2.666223
142,2.648828
143,2.668263
144,2.645192
145,2.638981
146,2.633116
147,2.633392
148,2.603938
149,2.612003
150,2.624683
151,2.616286
152,2.605090
153,2.599867
154,2.596178
155,2.592609
156,2.594924
157,2.589418
158,2.565323
159,2.580550
160,2.561658
161,2.564372
162,2.567124
163,2.556726
164,2.561568
165,2.544021
166,2.527497
167,2.556869
168,2.531832
169,2.537173
170,2.532988
171,2.525088
172,2.512119
173,2.508276
174,2.513886
175,2.503138
176,2.506602
177,2.494279
178,2.500341
179,2.483900
180,2.490469
181,2.493770
182,2.477950
183,2.467203
184,2.480473
185,2.479549
186,2.471755
187,2.460757
188,2.476128
189,2.473039
190,2.455205
191,2.450311
192,2.459947
193,2.438330
194,2.435421
195,2.454296
196,2.459157
197,2.425533
198,2.447932
199,2.435137
200,2.440547
201,2.432129
202,2.422083
203,2.438238
204,2.424602
205,2.407214
206,2.412913
207,2.412195
208,2.416482
209,2.431089
210,2.406607
211,2.425479
212,2.405166
213,2.386402
214,2.407143
215,2.403422
216,2.380757
217,2.388527
218,2.386958
219,2.387950
220,2.367617
221,2.382390
222,2.391015
223,2.378029
224,2.373751
225,2.377789
226,2.367778
227,2.375776
228,2.352725
229,2.360322
230,2.367931
231,2.367704
232,2.340353
233,2.357594
234,2.355238
235,2.369070
236,2.339768
237,2.361025
238,2.345139
239,2.343379
240,2.348149
241,2.336330
242,2.346807
243,2.339972
244,2.327868
245,2.326974
246,2.347027
247,2.329077
248,2.333131
249,2.314150
250,2.315009
251,2.324054
252,2.333253
253,2.303841
254,2.321346
255,2.311211
256,2.313662
257,2.327612
258,2.305723
259,2.306250
260,2.310926
261,2.312568
262,2.317753
263,2.291878
264,2.295015
265,2.301244
266,2.308618
267,2.283176
268,2.295317
269,2.308679
270,2.297656
271,2.293323
272,2.289442
273,2.288977
274,2.293715
275,2.304533
276,2.294221
277,2.280152
278,2.290362
279,2.275257
280,2.260488
281,2.268545
282,2.268100
283,2.287579
284,2.281972
285,2.281644
286,2.257744
287,2.278340
288,2.264815
289,2.255430
290,2.272311
291,2.252765
292,2.260015
293,2.259616
294,2.240483
295,2.255566
296,2.254094
297,2.260958
298,2.250801
299,2.248910
300,2.248588
301,2.247885
302,2.231727
303,2.248383
304,2.223138
305,2.241798
306,2.262742
307,2.231379
308,2.252796
309,2.239983
310,2.229781
311,2.236286
312,2.233074
313,2.220968
314,2.225315
315,2.230632
316,2.205070
317,2.210689
318,2.223196
319,2.234984
320,2.235120
321,2.227691
322,2.218254
323,2.221895
324,2.224476
325,2.218305
326,2.218885
327,2.199176
328,2.218256
329,2.191790
330,2.213875
331,2.208816
332,2.197491
333,2.201359
334,2.198990
335,2.203004
336,2.212632
337,2.201353
338,2.170113
339,2.205642
340,2.195835
341,2.176754
342,2.195282
343,2.190534
344,2.174829
345,2.172251
346,2.195641
347,2.201146
348,2.180036
349,2.182214
350,2.173961
351,2.179542
352,2.183979
353,2.182255
354,2.194644
355,2.176721
356,2.187859
357,2.157649
358,2.169590
359,2.172755
360,2.175151
361,2.175401
362,2.159328
363,2.174846
364,2.167397
365,2.171798
366,2.161585
367,2.173050
368,2.175231
369,2.169611
370,2.171853
371,2.163719
372,2.145038
373,2.157724
374,2.157772
375,2.169844
376,2.179134
377,2.150170
378,2.140877
379,2.152579
380,2.154088
381,2.143051
382,2.140018
383,2.142988
384,2.145702
385,2.137000
386,2.133154
387,2.137552
388,2.131958
389,2.151240
390,2.143843
391,2.134648
392,2.141551
393,2.116055
394,2.140458
395,2.132647
396,2.137773
397,2.148590
398,2.131280
399,2.123117
400,2.146996
401,2.108755
402,2.133740
403,2.122264
404,2.116255
405,2.123757
406,2.114151
407,2.125341
408,2.127887
409,2.134637
410,2.134857
411,2.108379
412,2.102056
413,2.104080
414,2.100701
415,2.118205
416,2.109797
417,2.097820
418,2.109909
419,2.117149
420,2.102718
421,2.119678
422,2.115508
423,2.121645
424,2.117988
425,2.105316
426,2.100256
427,2.127311
428,2.115289
429,2.105456
430,2.088814
431,2.110942
432,2.105773
433,2.086843
434,2.089494
435,2.102498
436,2.087097
437,2.086413
438,2.096471
439,2.087385
440,2.106363
441,2.081446
442,2.101353
443,2.076068
444,2.099497
445,2.088457
446,2.074501
447,2.086857
448,2.080618
449,2.082145
450,2.096685
451,2.083079
452,2.080364
453,2.091859
454,2.082827
455,2.081809
456,2.091071
457,2.089508
458,2.084852
459,2.080799
460,2.069687
461,2.068807
462,2.074515
463,2.076898
464,2.084644
465,2.052098
466,2.067466
467,2.072926
468,2.072333
469,2.066994
470,2.057191
471,2.057767
472,2.062152
473,2.051215
474,2.064060
475,2.046572
476,2.044328
477,2.062514
478,2.065516
479,2.050060
480,2.061720
481,2.069110
482,2.055411
483,2.059564
484,2.046016
485,2.051085
486,2.051438
487,2.056505
488,2.058526
489,2.053882
490,2.052772
491,2.029905
492,2.055671
493,2.053880
494,2.033285
495,2.028336
496,2.057692
497,2.051251
498,2.042109
499,2.040781
500,2.049964
501,2.039291
502,2.055660
503,2.029567
504,2.029024
505,2.026197
506,2.043385
507,2.038030
508,2.047242
509,2.031047
510,2.023918
511,2.015873
512,2.022452
513,2.033716
514,2.040235
515,2.040491
516,2.033572
517,2.014739
518,2.030843
519,2.038107
520,2.018869
521,2.024539
522,2.022724
523,2.043773
524,2.015876
525,2.038022
526,2.024557
527,2.017216
528,2.043179
529,2.011807
530,2.026565
531,2.045496
532,2.030959
533,2.013837
534,2.034308
535,2.031541
536,2.037814
537,2.019875
538,2.014017
539,2.027044
540,2.020952
541,2.014290
542,2.016005
543,2.020102
544,1.990945
545,2.007124
546,2.022526
547,2.007285
548,2.032501
549,2.006682
550,1.999683
551,2.030894
552,2.011352
553,2.007980
554,2.005877
555,2.015679
556,2.006631
557,2.027223
558,1.989489
559,2.006117
560,2.004042
561,2.011207
562,1.990633
563,1.984436
564,2.002417
565,2.008309
566,1.994620
567,1.995634
568,2.003329
569,1.992719
570,2.002372
571,2.000273
572,1.999665
573,1.989280
574,1.984056
575,1.986006
576,1.982756
577,1.996774
578,1.991088
579,1.993864
580,1.998994
581,1.988985
582,1.986074
583,1.990151
584,1.981629
585,1.982821
586,1.986255
587,2.003545
588,1.974776
589,1.983164
590,1.995283
591,1.994005
592,1.998771
593,1.989236
594,1.981915
595,1.970739
596,1.982456
597,1.986033
598,1.994018
599,1.982112
600,1.981638
601,1.977664
602,1.983206
603,1.973374
604,1.985696
605,1.978664
606,1.971957
607,1.972349
608,1.982951
609,1.970140
610,1.982647
611,1.954907
612,1.983741
613,1.976992
614,1.960526
615,1.990697
616,1.976846
617,1.951418
618,1.986216
619,1.975765
620,1.972862
621,1.990144
622,1.981401
623,1.974373
624,1.972781
625,1.973207
626,1.970639
627,1.974756
628,1.958866
629,1.950278
630,1.971302
631,1.970211
632,1.944904
633,1.970986
634,1.963756
635,1.957739
636,1.973527
637,1.951195
638,1.958167
639,1.951014
640,1.963611
641,1.950015
642,1.969088
643,1.967505
644,1.972962
645,1.956649
646,1.959080
647,1.952871
648,1.970496
649,1.960129
650,1.962762
651,1.949018
652,1.946714
653,1.975864
654,1.959008
655,1.943397
656,1.946904
657,1.941685
658,1.960926
659,1.957512
660,1.958795
661,1.944255
662,1.948759
663,1.952928
664,1.961930
665,1.939753
666,1.926817
667,1.934623
668,1.941417
669,1.941985
670,1.962443
671,1.937476
672,1.950147
673,1.950221
674,1.946624
675,1.922323
676,1.959056
677,1.954940
678,1.935439
679,1.946010
680,1.941299
681,1.960943
682,1.953666
683,1.951558
684,1.922941
685,1.922611
686,1.954620
687,1.934789
688,1.947755
689,1.942935
690,1.929956
691,1.930703
692,1.950476
693,1.923565
694,1.940856
695,1.943322
696,1.930310
697,1.929870
698,1.941354
699,1.935145
700,1.940751
701,1.927337
702,1.935834
703,1.924655
704,1.909164
705,1.923142
706,1.939447
707,1.932571
708,1.944558
709,1.938128
710,1.936167
711,1.929435
712,1.934209
713,1.934482
714,1.918450
715,1.917402
716,1.940655
717,1.917864
718,1.941571
719,1.925404
720,1.921459
721,1.936392
722,1.921179
723,1.905550
724,1.913577
725,1.924460
726,1.922635
727,1.935789
728,1.918134
729,1.920767
730,1.916064
731,1.934373
732,1.915310
733,1.920155
734,1.917686
735,1.924751
736,1.917038
737,1.918711
738,1.911406
739,1.919516
740,1.915844
741,1.925941
742,1.907889
743,1.917945
744,1.936556
745,1.900609
746,1.910239
747,1.914705
748,1.902784
749,1.921173
750,1.905084
751,1.895638
752,1.916237
753,1.917467
754,1.934142
755,1.900848
756,1.915391
757,1.920468
758,1.928920
759,1.892569
760,1.907175
761,1.902622
762,1.913390
763,1.903634
764,1.899173
765,1.918145
766,1.904876
767,1.918204
768,1.904364
769,1.913093
770,1.911879
771,1.908595
772,1.905616
773,1.891648
774,1.906658
775,1.895117
776,1.913018
777,1.898677
778,1.894974
779,1.906690
780,1.920095
781,1.910285
782,1.891992
783,1.899346
784,1.906427
785,1.898572
786,1.895567
787,1.918432
788,1.879134
789,1.907905
790,1.917981
791,1.925146
792,1.906118
793,1.888303
794,1.898371
795,1.911030
796,1.893099
797,1.897611
798,1.898297
799,1.914251
800,1.900319
801,1.892712
802,1.894468
803,1.893807
804,1.901022
805,1.886431
806,1.901436
807,1.896971
808,1.888616
809,1.887374
810,1.884632
811,1.882296
812,1.888312
813,1.872727
814,1.880333
815,1.888673
816,1.896511
817,1.910781
818,1.886918
819,1.895194
820,1.879309
821,1.892863
822,1.867092
823,1.885379
824,1.895055
825,1.888535
826,1.884395
827,1.895920
828,1.876950
829,1.879997
830,1.889469
831,1.891150
832,1.898220
833,1.895890
834,1.880679
835,1.891614
836,1.885412
837,1.875075
838,1.892568
839,1.887206
840,1.876470
841,1.876098
842,1.879451
843,1.895053
844,1.878954
845,1.906529
846,1.886586
847,1.872964
848,1.890306
849,1.879277
850,1.877055
851,1.880152
852,1.877791
853,1.870694
854,1.877114
855,1.879425
856,1.875981
857,1.872988
858,1.888893
859,1.880125
860,1.899018
861,1.875100
862,1.866573
863,1.902072
864,1.887024
865,1.869931
866,1.886977
867,1.865786
868,1.867613
869,1.875956
870,1.871233
871,1.856641
872,1.878232
873,1.877630
874,1.865598
875,1.858525
876,1.867551
877,1.878205
878,1.876089
879,1.877281
880,1.858959
881,1.874096
882,1.858486
883,1.865757
884,1.858040
885,1.890596
886,1.876885
887,1.852605
888,1.864842
889,1.866161
890,1.857818
891,1.865963
892,1.852422
893,1.853994
894,1.875750
895,1.874082
896,1.868936
897,1.859531
898,1.857158
899,1.853403
900,1.881026
901,1.863020
902,1.862190
903,1.871503
904,1.867586
905,1.862823
906,1.874873
907,1.852454
908,1.875989
909,1.874945
910,1.849642
911,1.854969
912,1.849663
913,1.851211
914,1.853210
915,1.865686
916,1.874179
917,1.854834
918,1.842982
919,1.842112
920,1.869723
921,1.859782
922,1.862121
923,1.852597
924,1.859742
925,1.847680
926,1.861596
927,1.871415
928,1.861657
929,1.855549
930,1.851383
931,1.872530
932,1.863474
933,1.861686
934,1.856207
935,1.858771
936,1.862032
937,1.841541
938,1.861075
939,1.847259
940,1.858499
941,1.847938
942,1.870517
943,1.845292
944,1.856309
945,1.857010
946,1.865459
947,1.861405
948,1.849508
949,1.828267
