id,phone_sequence
fadg0_si1279,lyLMrSwDLHBaLMnDJrDgLJg
fadg0_si1909,wLJnBLMyJyBwLMwLwDJLBgDLMwLJwIwD
fadg0_si649,JwDJLMaDJLBsInDLBwDJyDLABwJaLJgBLMrLJaDyBrDLHIwILMw
fadg0_sx109,wLJLJgrBwLJrBwDLMaByrDrBbLJwLDrD
fadg0_sx19,KwLArBwDyLwBLwDaDLSrLDyLBwLDgD
fadg0_sx199,wDByLAJnDwDyLAwJLBbLnDgLlwDrwLDLJwDLJrwLMbLMwD
fadg0_sx289,BwDLaLMsBnBLJLMLSwByLwLMwBywLBrLArBPDJ
fadg0_sx379,JLMgwLBLbBLKIgDJnLbLJyBJ
faks0_si1573,JLCLBLIwBJLwDaLwDLBwBLBwLJwLwLwDBgLDgwJwaILD
faks0_si2203,lwLAtLDbLDLDLMwDrBwJBJwLBLwDLaDBwLAJLwD
faks0_si943,wLtLAIDLSwLHrLAJLIbDLMwDIgDLMLwJy
faks0_sx133,JLJLByDrLMLwDLHBLkwDLwLnBLAByLDwULDLAy
faks0_sx223,tLDLArBLDybDLnByLMPgnIw
faks0_sx313,tLMnrtwLbDBLnDJBwLHBLIwLAIByLDwBwDJLJ
faks0_sx403,DwLDwLHBLJrJwLJLIwLMwJLw
faks0_sx43,wDgDrDLMrDnBbLJLD
fcal1_si1403,AtLKwLArLwDBwrLJLABrLwDLHwJLBrBwLBySwDrBLDLMLwLJ
fcal1_si2033,aLAaBrLwLJDyLAgwDaIcLDBr
fcal1_si773,SyDLwBLABnDLDwJLBrLABrBLIyrDyrwDyJwD
fcal1_sx143,DLArDLMwJLwLHBwLBLABwD
fcal1_sx233,gLAwLABnDBywJLDByDwLDyLDrLJy
fcal1_sx323,JrLAaDLBLJBrsByJwLMwDbDrCyDy
fcal1_sx413,ABrLMwDybLDgLwDBLBrcCwLDyaLJLMw
fcal1_sx53,wLwDLaLBwDLDyaLDLDnQrJLwD
fcmh0_si1454,DLHrLwDLMwDaywDrwLArBwLABJLwDamwDBwLMwLMwDJwJBrLBLwDLM
fcmh0_si2084,DLMwBLMIgyBwDBw
fcmh0_si824,tLtLJwDByJyByDtsaDBwDyLKwDLwDLDgwJrLlwDtrDLwJywDJ
fcmh0_sx104,wLMwLJwSwLDJyByLSwDgD
fcmh0_sx14,wDLHBwBJnDJwLByrwDJLwJLDnBwLAcJrByD
fcmh0_sx194,hFLJwLMrLDBwLJLMgLJ
fcmh0_sx284,wLJLJLBLMsDBcDJLDLBywLCwLMwLDwLAByUr
fcmh0_sx374,JLMrDLMyLwDLMLwDJLrJLBD
fdac1_si1474,JIwLMwDBLDyBLwLMwLDyBwLBwLMbBgLDLMFLMrByLMw
fdac1_si2104,BLwLMwJBrLHBwLByLMJLHrLMwDLMwLByLwDrLJBJ
fdac1_si844,JLArJLAwBwLAwDaLABJwLJyLwJLrDgwLbDLByLDgrLJwLMwByDLDJwLJwDLMsDLDnBLwLJLvyDLrLJF
fdac1_sx124,nBwJLMIwLAIwLIwDaLMIByBywLhgJrDJLArLD
fdac1_sx214,IBwLDwDaLHnDrDgDLMryBLCwDLwDJLJyB
fdac1_sx304,tLtLMwJLMwDBwLDBsLDvyLJLAaLByLgLDByLJyJr
fdac1_sx34,JyLwLByDLJwLwLBgLDyLvwU
fdac1_sx394,wLMwJLMwLbDwLDLbIwtByJrwLHrwLMLBrBLgDy
fdms0_si1218,ByLDwDLMwByLwJaDy
fdms0_si1502,DLBrLMwDLDbDLByJwLwLAwDwLBwLBg
fdms0_si1848,DLByLDByLJwDLMLByrwLAwD
fdms0_sx138,wLMwJyBsLTrLJwDyLAwLJwBwJ
fdms0_sx228,bBLHBLJLDyDLbBLJnDJLDwD
fdms0_sx318,wDLDLgyBwJLwDLJLCU
fdms0_sx408,bLwDLwLwDyILwLDwDLwDJLwDLw
fdms0_sx48,sLwDnByLMnDLBLDwLBLMrBJLMw
fdrw0_si1283,wLJLDLMyamwByLAByDrDyBJLhgyLJBbBLsBbDJLBwDLIwDLABLJ
fdrw0_si1423,FLABwByrDyrLCnBLMwLtByDwBrJ
fdrw0_si653,yrLDrLwDIBsDLyBLw
fdrw0_sx113,DLBsLMwDwBLDyBLByDLJnrLByDwLbJrLJBLD
fdrw0_sx203,JLIwDLMrBgwLBLDLHByLMryLDwDLJLM
fdrw0_sx23,DyLMwJLBwDLnBJLHBbLBsLMrBJcLJLJ
fdrw0_sx293,nLJwLHBbLJyBLMrLHBnBLwDJLBwJ
fdrw0_sx383,bDLIyLJwDLwBbDLJLDLrByDr
fedw0_si1084,bLMrLBLwDJBLaDBLHyLbIJLHIBLABbLMyLMSnDLbBwLJrwDJwLArDnJLBwDwDrDgDwJ
fedw0_si1653,MLbJrJLwDrnDJgLDLnLAB
fedw0_si1714,ILJLgBLCgwDwBLBgLMrLgryLnDJyDLAByLJ
fedw0_sx184,DLBgDJLbDnBDLbBwDLJBbDLnLMw
fedw0_sx274,gLBLaLMrJsDLILnBLMwDLbBbBwD
fedw0_sx364,JgLBywJLMInDBLDLSwDaLDBbBbLDBsLHBrDJwDwJLBLJIcLwDJLBryLBwDLDyFJLDLDw
fedw0_sx4,yLwDLArBbLByLAaJBLDaIwDyBLBrLIgLB
fedw0_sx94,DLArJwLMwDBLDrLwLJLByJwBrLJLJLnByLwLJ
fgjd0_si1179,IwDLJwDygLnBLJLDLJLMwJLImwrLn
fgjd0_si549,DLABsDLlwLMaDLABwBsLJLwLBaLIFDbLMFLHBwDLMwDBLHBwLy
fgjd0_si818,wDwDrBLByLHBwDLMrLDLMrBwDyLIwLJwJwLDLHBcJyDwLBbDLAr
fgjd0_sx189,JwDwBLAaDwDLJBrBrDrDLDBLcDrDLJ
fgjd0_sx279,arLIyBUyJnDLHrBJLDLMaLJsLMwDLByLbLDaIDBLwD
fgjd0_sx369,IFDyLBwLwDLBwDwJLgDwBcLDwIBbLMwD
fgjd0_sx9,IaBwDwDLBywBgwDBrDPD
fgjd0_sx99,DLByJnDLMrJLBywDJwLSrLBrLABnrgwDLwDLCLJ
fjem0_si1264,MwLHBwJrJLSrDLDrBcLMrDLMrgLAywDy
fjem0_si1894,waLJnDyLMrgULbDIbBrLMIbLBgJLIwD
fjem0_si634,wDJbDyJLDULwBLwJLBcDwJyBwJrDwBwDLaByLBLBbByIgLByaILbDLJLwLMwDa
fjem0_sx184,wLHrLKwLwDLvrwJLIwLDnD
fjem0_sx274,JLDJLgUyLAyBwDwLMwBrUwDLMwDLJLHIbDw
fjem0_sx364,wLABwLBcLHrDbDbLwDwDLMrDyLwDLnBrDByByDywLMwDLJLMryLABbLMInBwJLDI
fjem0_sx4,JLMIgwDLMwBwDBnBLIbDLBwDwLBbDBw
fjem0_sx94,BLABwLDJLwDrBbBLDLMwDrwDLbDLMwLDLJ
fjmg0_si1181,IFLDwLMrLMyLDrBLBrLMIDwLMwDJLDJBwLMrByBLDyU
fjmg0_si1811,aLAcDwJLnDrByLJLAByLgLByLJ
fjmg0_si551,JLABLDBwDLJBbLDLAwBcLMrSwDLJrLbLB
fjmg0_sx101,ByLMcBrLByJCIwLDLAaByLJBDLwIyBrJLBLDyLBrtIyLbBrDFLHrLByJ
fjmg0_sx11,ByDnBcSwDawLHIwBaDLAFwJyLwr
fjmg0_sx191,DLwDBrLwLMBrLsLDgJByDLwLBrLwJLM
fjmg0_sx281,BLDLJwDLBrLDLHByLABygrJLABbBrLJwJLByIn
fjmg0_sx371,JLBrLbLbDLBDIyJByLaLnDLwLHwDLDy
fjsj0_si1484,aLHByDsDIBnLyrLMwDyLwDJwDwLwD
fjsj0_si2114,wLAJrbDLJwLDcBLByDBrLDaLJyBbD
fjsj0_si854,ILJrLwBLJwDBwDBwDLDrLHByLaDLMr
fjsj0_sx134,KwLDwLAwUyDLlwJLlyLHBFDnD
fjsj0_sx224,yLAB
fjsj0_sx314,bJLDaDyIaLByDLDbLDwLaDLHIwDJLAwDaLM
fjsj0_sx404,BbDLAwLwDwJrLMIyULbDByw
fjsj0_sx44,BJLAwJLDLInLHBygLDLw
fkms0_si1490,wLArLJByLMaIBwJaIwLMwCsLM
fkms0_si2120,sLDLMnDrDsrLByaLIwmrLAwDaLJLAwLrwDyLJBLDr
fkms0_si860,rLlyIyLBwDLABwBJrCnLbDLJLJyInDJBLCJLgDBDwJLwJ
fkms0_sx140,ILHrLDLwLMwBrLBwLAwDgwJLMwD
fkms0_sx230,yLMwLwDBwBwDwaIwDrLDwLhgyBwLDwLSwDyLIPaLJLvnDBLJB
fkms0_sx320,DLMbDwLMLDrLMIyBLBJgDLBbDLMLIy
fkms0_sx410,JLMraLBJLAJLwLMgDrBwD
fkms0_sx50,wBJwDwJLwDrLwDLHByLwLBwLCwD
fmah0_si1289,JcDyLAsDLwLJrBwD
fmah0_si1919,aLwLDwBwJwLwLMwDrLMnrLAw
